trip_id,datetime,city,driver_id,distance_km,duration_min,surge_multiplier,fare_uzs,status,payment_method,rating
T004702,2024-02-02 10:30:00,Toshkent,D0244,3.9,11.0,1.0,10 800,completed,cash,5.0
T000766,2024-02-18 08:46:00,Samarqand,D0011,2.3,5.0,1.0,8 400,completed,card,4.0
T002639,2024-01-26 01:51:00,Toshkent,D0215,14.9,43.0,1.0,27 400,Completed,card,4.5
T004022,2024-03-17 19:43:00,Andijon,D0240,3.1,10.0,1.3,19 300,completed,card,3.8
T001096,2024-02-12 18:38:00,Samarqand,D0117,5.0,11.0,2.0,38 000,Completed,card,3.8
T000478,2024-01-02 13:26:00,Toshkent,D0013,6.7,17.0,1.0,15 000,COMPLETED,wallet,4.7
T001287,2024-02-20 17:30:00,Toshkent,D0299,8.4,18.0,1.0,17 600,Completed,card,4.0
T001468,2024-03-10 22:16:00,Samarqand,D0208,13.0,35.0,1.0,24 500,completed,cash,4.9
T001544,2024-03-28 18:25:00,Toshkent,D0065,4.1,11.0,2.0,22 300,completed,card,3.9
T002870,2024-01-22 10:11:00,Buxoro,D0137,2.6,6.0,1.0,,no_show,,
T002323,2024-01-24 04:51:00,Buxoro,D0094,2.7,7.0,1.0,9 000,Completed,cash,4.2
T002895,2024-02-21 19:07:00,Samarqand,D0012,13.8,34.0,2.0,76 700,Completed,card,4.2
T001009,2024-02-29 19:02:00,Toshkent,D0246,3.8,10.0,1.0,10 700,completed,cash,4.6
T004257,2024-01-31 19:24:00,Samarqand,D0052,4.1,15.0,1.0,11 200,Completed,card,4.1
T004434,2024-03-01 20:54:00,Toshkent,D0138,10.1,20.0,1.0,47 400,Completed,cash,5.0
T001759,2024-01-15 03:53:00,Toshkent,D0009,5.8,,1.0,13 700,Completed,card,5.0
T001115,2024-01-22 09:59:00,Namangan,D0146,6.6,14.0,2.0,45 000,completed,card,4.4
T001434,2024-02-16 09:01:00,Toshkent,D0142,7.1,19.0,1.3,20 300,completed,cash,5.0
T001892,2024-01-20 04:33:00,Toshkent,D0053,10.6,28.0,1.0,20 900,completed,card,4.9
T002771,2024-02-20 19:51:00,Toshkent,D0101,10.7,21.0,1.3,,completed,card,4.4
T001763,2024-01-05 18:20:00,Toshkent,D0135,9.1,17.0,1.0,18 600,completed,cash,5.0
T004601,2024-03-10 08:07:00,Toshkent,D0235,3.3,7.0,1.5,,Cancelled,,
T001271,2024-01-15 11:47:00,Toshkent,D0220,4.6,9.0,1.0,28 100,completed,card,4.5
T000366,2024-01-13 08:50:00,Namangan,D0255,4.2,11.0,1.0,17 200,completed,cash,5.0
T000070,2024-03-26 09:36:00,Samarqand,D0091,3.0,12.0,1.5,14 200,COMPLETED,card,3.6
T003029,2024-03-07 18:22:00,Andijon,D0175,6.5,11.0,1.5,33 400,completed,cash,4.9
T004310,2024-01-24 20:30:00,Toshkent,D0030,2.4,6.0,1.0,8 600,COMPLETED,card,5.0
T004246,2024-02-27 19:11:00,Samarqand,D0293,6.7,15.0,2.0,45 500,Completed,cash,4.4
T001998,2024-01-07 16:38:00,Toshkent,D0093,3.3,9.0,1.0,10 000,completed,cash,4.3
T000279,2024-03-03 18:14:00,Buxoro,D0137,10.0,22.0,1.3,26 000,COMPLETED,card,4.9
T002169,2024-03-20 18:09:00,Buxoro,D0156,8.5,18.0,1.0,26 700,Completed,wallet,3.8
T002298,2024-02-26 18:31:00,Buxoro,D0064,5.8,11.0,1.0,,Cancelled,,
T004650,2024-02-21 18:26:00,Namangan,D0232,8.2,18.0,1.0,17 300,Completed,card,4.9
T002338,2024-03-25 11:06:00,Samarqand,D0047,11.8,22.0,1.0,22 700,completed,card,4.9
T001126,2024-01-13 20:35:00,Toshkent,D0203,6.3,16.0,1.0,21 900,Completed,cash,5.0
T003641,2024-02-14 06:18:00,Toshkent,D0020,3.0,6.0,1.0,,Cancelled,,
T001963,2024-03-11 19:21:00,Buxoro,D0169,2.9,11.0,1.5,,cancelled,,
